立案時間,派工項目,案件地址,經緯度,longitude,latitude
2017/10/10 10:11,路燈故障或設施損壞,大安區和平東路三段1巷,"(25.026352, 121.5468052)",25.026352, 121.5468052
2017/10/10 10:36,路燈故障或設施損壞,北投區中央北路四段601巷,"(25.1233126, 121.4630727)",25.1233126, 121.4630727
2017/10/10 11:11,交通號誌異常,文山區,"(24.9929212, 121.57125)",24.9929212, 121.57125
2017/10/10 11:14,交通號誌異常,文山區,"(24.9929212, 121.57125)",24.9929212, 121.57125
2017/10/10 11:21,交通號誌異常,士林區重慶北路四段,"(25.0827383, 121.512261)",25.0827383, 121.512261
2017/10/10 12:18,交通號誌異常,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2017/10/10 12:14,鄰里無主垃圾清運,南港區研究院路一段,"(25.0519568, 121.6161227)",25.0519568, 121.6161227
2017/10/10 13:01,交通號誌異常,大安區和平東路一段,"(25.0266163, 121.5287716)",25.0266163, 121.5287716
2017/10/10 13:34,交通號誌異常,大安區仁愛路三段,"(25.0379806, 121.5383803)",25.0379806, 121.5383803
2017/10/10 13:43,交通標誌及設施物損壞(含汙損)、傾斜,北投區,"(25.1151759, 121.515018)",25.1151759, 121.515018
2017/10/10 14:01,路燈故障或設施損壞,士林區永平街37巷,"(25.0907433, 121.5050368)",25.0907433, 121.5050368
2017/10/10 14:02,交通號誌異常,文山區116台灣台北市文山區辛亥路七段63號,"(24.9834469, 121.553921)",24.9834469, 121.553921
2017/10/10 14:20,鄰里無主垃圾清運,中正區羅斯福路三段,"(25.0203177, 121.5285068)",25.0203177, 121.5285068
2017/10/10 14:19,路燈故障或設施損壞,士林區永平街,"(25.0907433, 121.5050368)",25.0907433, 121.5050368
2017/10/10 14:35,鄰里無主垃圾清運,大安區市民大道三段,"(25.0448081, 121.5375093)",25.0448081, 121.5375093
2017/10/10 14:48,鄰里無主垃圾清運,中山區林森北路353巷,"(25.0570322, 121.5261099)",25.0570322, 121.5261099
2017/10/10 15:43,鄰里無主垃圾清運,北投區中正街49巷,"(25.1317222, 121.4998874)",25.1317222, 121.4998874
2017/10/10 15:51,鄰里無主垃圾清運,信義區仁愛路四段512巷,"(25.036488, 121.5608739)",25.036488, 121.5608739
2017/10/10 16:13,鄰里無主垃圾清運,中山區長安東路一段53巷,"(25.0494193, 121.5265727)",25.0494193, 121.5265727
2017/10/10 18:02,路燈故障或設施損壞,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2017/10/10 18:17,路燈故障或設施損壞,內湖區行善路59巷,"(25.056936, 121.578385)",25.056936, 121.578385
2017/10/10 18:38,路燈故障或設施損壞,內湖區行善路59巷40弄,"(25.056904, 121.5789877)",25.056904, 121.5789877
2017/10/10 18:38,鄰里無主垃圾清運,萬華區萬大路317巷,"(25.0245001, 121.5003442)",25.0245001, 121.5003442
2017/10/10 18:47,路燈故障或設施損壞,內湖區大湖街166巷,"(25.0822644, 121.6020757)",25.0822644, 121.6020757
2017/10/10 19:10,路燈故障或設施損壞,北投區天母北路,"(25.1212218, 121.5266963)",25.1212218, 121.5266963
2017/10/10 19:28,路燈故障或設施損壞,中山區林森北路,"(25.0566487, 121.5254942)",25.0566487, 121.5254942
2017/10/10 19:33,鄰里無主垃圾清運,中正區金山南路一段,"(25.0386576, 121.5285099)",25.0386576, 121.5285099
2017/10/10 19:54,路燈故障或設施損壞,文山區興德路47巷,"(25.0015024, 121.5557361)",25.0015024, 121.5557361
